Hanzi,Traditional,Pinyin,Pinyin 2,Meaning,Audio
的,,de,"dí, dì","possessive, adjectival suffix", [sound:sapi5-4915d8a1-ad50f0a2-84a98fb0-543faf2c-f3156edb.mp3]
一,,yī,,"one; a, an; alone", [sound:sapi5-4d0c1a44-52e338bb-8ccae66c-e836cd33-1ce19e1f.mp3]
是,,shì,,"indeed, yes, right; to be; demonstrative pronoun, this, that", [sound:sapi5-08d06ffb-5adeb3e1-697ec518-35ed098c-7e9798e4.mp3]
不,,bù,"fǒu, fōu","no, not; un-; negative prefix", [sound:sapi5-98784768-59838fac-09875739-dbc662f4-34d29235.mp3]
了,瞭,le,liǎo,to finish; particle of completed action, [sound:sapi5-15f10852-64cc9ca3-8036d7c3-43ab2889-c4472559.mp3]
在,,zài,,"be at, in, on; consist in, rest", [sound:sapi5-1498d61f-b2ff93a1-957cf6c9-7c79abac-a22831c8.mp3]
人,,rén,,man; people; mankind; someone else, [sound:sapi5-b65bab7f-639081be-a6498194-384b9ecf-99def084.mp3]
有,,yǒu,yòu,"have, own, possess; exist", [sound:sapi5-8c54253c-722de49c-1d6ecea2-afc891c8-4c346370.mp3]
我,,wǒ,,"our, us, i, me, my, we", [sound:sapi5-ab0ba57a-5d64756d-2480f60a-8223b2cf-3c3ffc50.mp3]
他,,tā,,"other, another; he, she, it", [sound:sapi5-2830cea5-af73f8fc-5151ff98-281f690f-9c9177a8.mp3]
这,這,zhè,zhèi,"this, the, here", [sound:sapi5-4ee53375-3e28dcbc-49b922e3-32e5ddc6-495401c6.mp3]
个,個 箇,gè,gě,"numerary adjunct, piece; single", [sound:sapi5-dce4c56b-79451b72-33c5dc4b-93765670-c1e6537a.mp3]
们,們,men,,adjunct pronoun indicate plural, [sound:sapi5-b108b569-c8e26a8e-0b4108d9-9a2af907-0bdb383d.mp3]
中,,zhōng,zhòng,"central; center, middle; in the midst of; hit (target); attain", [sound:sapi5-93780bca-009c5d75-476f9b04-2763cbe6-38c3105a.mp3]
来,來,lái,lài,"come, coming; return, returning", [sound:sapi5-f77741c5-105c3222-84b86927-5427b86b-7b7ba383.mp3]
上,,shàng,,"top; superior, highest; go up, send up", [sound:sapi5-c8db1ecc-c48dd04e-69aab823-8177e37f-4af31ffc.mp3]
大,,dà,"dài, tài","big, great, vast, large, high", [sound:sapi5-6e62b32d-db4ff93a-136e6f18-dd8b0583-c03e659c.mp3]
为,為,wèi,wéi,"do, handle, govern, act; be", [sound:sapi5-570cf6ac-36aec85a-2c507336-2afa4751-8fbc0ad9.mp3]
