radical,variants,pinyin,learnt
一,,yi1,True
丨,,gun3,True
丿,"乀 (fu2), 乁(yi2)",pie3,True
乙,"乚 (yin3), 乛",yi4,True
亅,,jue2,True
丶,,zhu3,True
二,,er4,True
亠,,tou2,True
人,亻,ren2,True
儿,,er2,True
入,,ru4,True
八,丷,ba1,True
冂,,jiong3,True
冖,,mi4,True
冫,,bing1,True
几,,ji1,True
凵,,qu3,True
刀,刂,dao1,True
力,,li4,True
勹,,bao1,True
匕,,bi3,True
匚,,fang1,True
匸,,xi3,True
十,,shi2,True
卜,,bu3,True
卩,,jie2,True
厂,,han4,True
厶,,si1,True
又,,you4,True
囗,,wei2,True
土,,tu3,True
士,,shi4,True
夂,,zhi3 (top),True
夊,,sui1 (bot­tom),True
夕,,xi1,True
大,,da4,False
女,,nü3,False
子,,zi3,False
宀,,mian2,False
寸,,cun4,False
小,,xiao3,False
尢,尣,wang1,False
尸,,shi1,False
屮,,che4,False
山,,shan1,False
川,"巛, 巜 (gui4)",chuan1,False
工,,gong1,False
己,,ji3,False
巾,,jin1,False
干,,gan1,False
幺,,yao1,False
口,,kou3,False
广,,guan3,False
廴,,yin3,False
廾,,gong3,False
弋,,yi4,False
弓,,gong1,False
彐,彑,ji4,False
彡,,shan1,False
彳,,chi4,False
心,忄,xin1,False
戈,,ge1,False
戶,,hu4,False
手,扌,shou3,False
支,,zhi1,False
攴,攵,pu1,False
文,,wen2,False
斗,,dou3,False
斤,,jin1,False
方,,fang1,False
无,,wu2,False
日,,ri4,False
曰,,yue1,False
月,,yue4,False
木,,mu4,False
欠,,qian4,False
止,,zhi3,False
殳,,shu1,False
毋,,wu2,False
比,,bi3,False
毛,,mao2,False
氏,,shi4,False
气,,qi4,False
水,氵,shui3,False
火,灬,huo3,False
爪,爫,zhao3,False
父,,fu4,False
爻,,yao2,False
爿,丬,"pan2, qiang2",False
片,,pian4,False
牙,,ya2,False
牛,牜,niu2,False
犬,犭,quan3,False
歹,,dai3,False
玄,,xuan2,False
玉,王,yu4,False
瓜,,gua1,False
瓦,,wa3,False
甘,,gan1,False
生,,sheng1,False
用,,yong4,False
田,,tian2,False
疋,,pi3,False
疒,,chuang2,False
癶,,bo4,False
白,,bai2,False
皮,,pi2,False
皿,,min3,False
目,,mu4,False
矛,,mao2,False
矢,,shi3,False
石,,shi2,False
示,礻,shi4,False
禸,,rou3,False
禾,,he2,False
穴,,xue4,False
立,,li4,False
至,,zhi4,False
竹,⺮,zhu2,False
缶,,fou3,False
网,罒,wang3,False
羊,,yang2,False
羽,,yu3,False
老,,lao3,False
而,,er2,False
耒,,lei3,False
耳,,er3,False
聿,,yu4,False
肉,,rou4,False
臣,,chen2,False
自,,zi4,False
糸,,mi4,False
臼,,jiu4,False
舌,,she2,False
舛,,chuan3,False
舟,,zhou1,False
艮,,gen4,False
色,,se4,False
艸,艹,cao3,False
虍,,hu1,False
虫,,chong2,False
血,,xue3,False
行,,xing2,False
衣,衤,yi1,False
襾,覀,ya4,False
米,,mi3,False
見,,jian4,False
角,,jue2,False
言,,yan2,False
谷,,gu3,False
豆,,dou4,False
豕,,shi3,False
豸,,zhi4,False
貝,,bei4,False
赤,,chi4,False
走,,zou3,False
足,,zu2,False
身,,shen1,False
車,,che1,False
辛,,xin1,False
辰,,chen2,False
辵,辶,chuo4,False
邑,阝 (right),yi4,False
酉,,you3,False
釆,,bian4,False
里,,li3,False
金,,jin1,False
長,,chang2,False
阜,阝 (left),fu4,False
隶,,dai4,False
隹,,zhui1,False
雨,,yu3,False
青,,qing1,False
非,,fei1,False
門,,men2,False
風,,feng1,False
革,,ge2,False
韭,,jiu3,False
音,,yin1,False
頁,,ye4,False
面,,mian4,False
飛,,fei1,False
食,飠,shi2,False
首,,shou3,False
香,,xiang1,False
韋,,wei2,False
馬,,ma3,False
骨,,gu3,False
高,,gao1,False
髟,,biao1,False
鬥,,dou4,False
鬯,,chang4,False
鬲,,li4,False
鬼,,gui3,False
魚,,yu2,False
鹵,,lu3,False
鹿,,lu4,False
麥,,mai4,False
麻,,ma2,False
鳥,,niao3,False
黃,,huang2,False
黍,,shu3,False
黑,,hei1,False
黹,,zhi3,False
黽,,min3,False
鼎,,ding3,False
鼓,,gu3,False
鼠,,shu3,False
鼻,,bi2,False
齊,,qi2,False
齒,,chi3,False
龍,,long2,False
龜,,gui1,False
龠,,yue4,False
